210,American Eagle Airlines;MQ;EGF;EAGLE FLIGHT;United States
211,American Falcon;WK;AFB;AMERICAN FALCON;Argentina
212,Amerijet International;M6;AJT;AMERIJET;United States
213,Amtrak;2V;\N;\N;United States
214,Ansett Australia;AN;AAA;ANSETT;Australia
215,Antinea Airlines;HO;DJA;ANTINEA;Algeria
216,Antrak Air;04;ABV;ANTRAK;Ghana
217,Arctic Circle Air Service;5F;CIR;AIR ARCTIC;United States
218,Arcus-Air Logistic;ZE;AZE;ARCUS AIR;Germany
219,Ariana Afghan Airlines;FG;AFG;ARIANA;Afghanistan
220,Arkefly;OR;TFL;ARKEFLY;Netherlands
221,Arkia Israel Airlines;IZ;AIZ;ARKIA;Israel
222,Armavia;U8;RNV;ARMAVIA;Armenia
223,Armenian International Airways;MV;RML;\N;Armenia
224,Arrow Air;JW;APW;BIG A;United States
225,Aserca Airlines;R7;OCA;AROSCA;Venezuela
226,Asia Overnight Express;OE;AOT;ASIA OVERNIGHT;Philippines
227,Asian Express Airlines;HJ;AXF;FREIGHTEXPRESS;Australia
228,Asian Spirit;6K;RIT;ASIAN SPIRIT;Philippines
229,Asiana Airlines;OZ;AAR;ASIANA;Republic of Korea
230,Askari Aviation;4K;AAS;AL-AAS;Pakistan
231,Astair;8D;\N;\N;Russian Federation
232,Astar Air Cargo;ER;DHL;DAHL;United States
233,Astraeus;5W;AEU;FLYSTAR;United Kingdom
234,Astrakhan Airlines;OB;ASZ;AIR ASTRAKHAN;Russia
235,Astral Aviation;8V;ACP;ASTRAL CARGO;Kenya
236,Atlant-Soyuz Airlines;3G;AYZ;ATLANT-SOYUZ;Russia
237,Atlantic Airways;RC;FLI;FAROELINE;Faroe Islands
238,Atlantic Southeast Airlines;EV;ASQ;ACEY;United States
239,Atlantis European Airways;TD;LUR;\N;Armenia
240,Atlas Air;5Y;GTI;GIANT;United States
241,Atlas Blue;8A;BMM;ATLAS BLUE;Morocco
242,Atlasjet;KK;KKK;ATLASJET;Turkey
243,Atyrau Air Ways;IP;JOL;EDIL;Kazakhstan
244,Augsburg Airways;IQ;AUB;AUGSBURG-AIR;Germany
245,Aurigny Air Services;GR;AUR;AYLINE;United Kingdom
246,Aus-Air;NO;AUS;\N;Australia
247,Austral Lineas Aereas;AU;AUT;AUSTRAL;Argentina
248,Australian Airlines;AO;AUZ;AUSTRALIAN;Australia
249,Austrian Airlines;OS;AUA;AUSTRIAN;Austria
250,Austrian Arrows;VO;TYR;TYROLEAN;Austria
251,Avensa;VE;AVE;Avensa;Venezuela
252,Aviaexpress;RX;AEH;Avex;Hungary
253,Avialeasing Aviation Company;EC;TWN;TWINARROW;Uzbekistan
254,Avianca - Aerovias Nacionales de Colombia;AV;AVA; S.A.;AVIANCA
255,Avient Aviation;Z3;SMJ;AVAVIA;Zimbabwe
256,Avies;U3;AIA;AVIES;Estonia
257,Avirex;G2;VXG;AVIREX-GABON;Gabon
258,Avolar Aerolineas;V5;VLI;AEROVOLAR;Mexico
259,Azerbaijan Airlines;J2;AHY;AZAL;Azerbaijan
260,Aztec Worldwide Airlines;7A;\N;\N;United States
261,Azzurra Air;ZS;AZI;AZZURRA;Italy
262,BA Connect;TH;\N;\N;United Kingdom
263,BACH Flugbetriebsges;B4;BCF;BACH;Austria
264,BAL Bashkirian Airlines;V9;BTC;BASHKIRIAN;Russia
265,BAX Global;8W;\N;\N;\N
266,BRA-Transportes Aereos;7R;BRB;BRA-TRANSPAEREOS;Brazil
267,Bahamasair;UP;BHS;BAHAMAS;Bahamas
268,Baker Aviation;8Q;BAJ;BAKER AVIATION;United States
269,Balkan Bulgarian Airlines;LZ;\N;\N;\N
270,Bangkok Airways;PG;BKP;BANGKOK AIR;Thailand
271,Barents AirLink;8N;NKF;NORDFLIGHT;Sweden
272,Bearskin Lake Air Service;JV;BLS;BEARSKIN;Canada
273,Belair Airlines;4T;BHP;BELAIR;Switzerland
274,Belavia Belarusian Airlines;B2;BRU;BELARUS AVIA;Belarus
275,Bellview Airlines;B3;BLV;BELLVIEW AIRLINES;Nigeria
276,Bemidji Airlines;CH;BMJ;BEMIDJI;United States
277,Benin Golf Air;A8;BGL;BENIN GOLF;Benin
278,Bering Air;8E;BRG;BERING AIR;United States
279,Berjaya Air;J8;BVT;BERJAYA;Malaysia
280,Big Sky Airlines;GQ;BSY;BIG SKY;United States
281,Biman Bangladesh Airlines;BG;BBC;BANGLADESH;Bangladesh
282,Binter Canarias;NT;IBB;\N;Spain
283,Bismillah Airlines;5Z;BML;BISMILLAH;Bangladesh
284,Blue Air;0B;JOR;BLUE TRANSPORT;Romania
285,Blue Dart Aviation;BZ;BDA;BLUE DART;India
286,Blue Panorama Airlines;BV;BPA;BLUE PANOROMA;Italy
287,Blue Wings;QW;BWG;BLUE WINGS;Germany
288,Blue1;KF;BLF;BLUEFIN;Finland
289,Boston-Maine Airways;E9;CXS;CLIPPER CONNECTION;United States
290,Bouraq Indonesia Airlines;BO;BOU;BOURAQ;Indonesia
291,Braathens;BU;BRA;Braathens;Norway
292,Braniff International Airways;BN;BNF;Braniff;United States
293,Bravo Air Congo;K6;BRV;BRAVO;Democratic Republic of the Congo
294,Bringer Air Cargo Taxi Aereo;E6;\N;\N;Brazil
295,Brit Air;DB;BZH;BRITAIR;France
296,British Airways;BA;BAW;SPEEDBIRD;United Kingdom
297,British International Helicopters;BS;BIH;BRINTEL;United Kingdom
298,British Mediterranean Airways;KJ;LAJ;BEE MED;United Kingdom
299,Brussels Airlines;SN;DAT;BEE-LINE;Belgium
300,Buffalo Airways;J4;BFL;BUFFALO;Canada
301,Bulgaria Air;FB;LZB;FLYING BULGARIA;Bulgaria
302,CAL Cargo Air Lines;5C;ICL;CAL;Israel
303,CHC Airways;AW;SCH;\N;Netherlands
304,Calima Aviacion;XG;CLI;CALIMA;Spain
305,Camai Air;R9;CAM;AIR CAMAI;United States
306,Cameroon Airlines;UY;UYC;CAM-AIR;Cameroon
307,CanJet;C6;CJA;CANJET;Canada
308,Canadian Airlines;CP;CDN;CANADIAN;Canada
309,Canadian North;5T;MPE;EMPRESS;Canada
310,Canadian Western Airlines;W2;CWA;CANADIAN WESTERN;Canada
311,Cape Air;9K;KAP;CAIR;United States
312,Capital Cargo International Airlines;PT;CCI;CAPPY;United States
313,Cargo Plus Aviation;8L;CGP;\N;United Arab Emirates
314,Cargoitalia;2G;CRG;WHITE PELICAN;Italy
315,Cargojet Airways;W8;CJT;CARGOJET;Canada
316,Caribbean Airlines;BW;BWA;CARIBBEAN AIRLINES;Trinidad and Tobago
317,Caribbean Star Airlines;8B;GFI;CARIB STAR;Antigua and Barbuda
318,Carpatair;V3;KRP;CARPATAIR;Romania
319,Caspian Airlines;RV;CPN;CASPIAN;Iran
320,Cathay Pacific;CX;CPA;CATHAY;Hong Kong SAR of China
321,Cayman Airways;KX;CAY;CAYMAN;Cayman Islands
322,Cebu Pacific;5J;CEB;CEBU AIR;Philippines
323,Centavia;7N;CNA;\N;Serbia
324,Centralwings;C0;CLW;CENTRALWINGS;Poland
325,Centre-Avia;J7;CVC;AVIACENTRE;Russia
326,Centurion Air Cargo;WE;CWC;CHALLENGE CARGO;United States
327,Chalk's Ocean Airways;OP;CHK;CHALKS;United States
328,Champion Air;MG;CCP;CHAMPION AIR;United States
329,Changan Airlines;2Z;CGN;CHANGAN;China
330,Chari Aviation Services;S8;CSU;CHARI SERVICE;Chad
331,Chautauqua Airlines;RP;CHQ;CHAUTAUQUA;United States
332,Chicago Express;C8;WDY;WINDY CITY;United States
333,China Airlines;CI;CAL;DYNASTY;Taiwan
334,China Cargo Airlines;CK;CKK;CARGO KING;China
335,China Eastern Airlines;MU;CES;CHINA EASTERN;China
336,China Northern Airlines;CJ;CBF;CHINA NORTHERN;China
337,China Northwest Airlines;WH;CNW;CHINA NORTHWEST;China
338,China Southern Airlines;CZ;CSN;CHINA SOUTHERN;China
339,China United Airlines;HR;CUA;LIANHANG;China
340,China Xinhua Airlines;XO;CXH;XINHUA;China
341,Chitaavia;X7;CHF;CHITA;Russia
342,Cielos Airlines;A2;CIU;CIELOS;Peru
343,Cimber Air;QI;CIM;CIMBER;Denmark
344,Cirrus Airlines;C9;RUS;CIRRUS AIR;Germany
345,City Airline;CF;SDR;SWEDESTAR;Sweden
346,City Connexion Airlines;G3;CIX;CONNEXION;Burundi
347,CityJet;WX;BCY;CITY-IRELAND;Ireland
348,Civil Air Transport;CT;CAT;Mandarin;Taiwan
349,Club Air;6P;ISG;CLUBAIR;Italy
350,Coast Air;BX;CST;COAST CENTER;Norway
351,Coastal Air;DQ;\N;U.S. Virgin Islands;United States
352,Colgan Air;9L;CJC;COLGAN;United States
353,Comair;MN;CAW;COMMERCIAL;South Africa
354,Comair;OH;COM;COMAIR;United States
355,CommutAir;C5;UCA;COMMUTAIR;United States
356,Comores Airlines;KR;CWK;CONTICOM;Comoros
357,Compania Mexicargo;GJ;MXC;MEXICARGO;Mexico
358,Condor Flugdienst;DE;CFG;CONDOR;Germany
359,Consorcio Aviaxsa;6A;CHP;AVIACSA;Mexico
360,Continental Airlines;CO;COA;CONTINENTAL;United States
361,Continental Micronesia;CS;CMI;AIR MIKE;United States
362,Conviasa;V0;VCV;CONVIASA;Venezuela
363,Copa Airlines;CM;CMP;COPA;Panama
364,Corsairfly;SS;CRL;CORSAIR;France
365,Corse-Mediterranee;XK;CCM;CORSICA;France
366,Cosmic Air;F5;COZ;COSMIC AIR;Nepal
367,Coyne Aviation;7C;COY;COYNE AIR;United Kingdom
368,Croatia Airlines;OU;CTN;CROATIA;Croatia
369,Crossair Europe;QE;ECC;Cigogne;Switzerland
370,Cubana de Aviación;CU;CUB;CUBANA;Cuba
371,Cyprus Airways;CY;CYP;CYPRUS;Cyprus
372,Cyprus Turkish Airlines;YK;\N;\N;Turkey
373,Czech Airlines;OK;CSA;CSA-LINES;Czech Republic
374,DAS Air Cargo;WD;DSR;DAIRAIR;Uganda
375,DAT Danish Air Transport;DX;DTR;DANISH;Denmark
376,DHL International;ES;DHX;DILMUN;Bahrain
377,DHL de Guatemala;L3;JOS;\N;Guatemala
378,Daallo Airlines;D3;DAO;DALO AIRLINES;Djibouti
379,Dagestan Airlines;N2;DAG;DAGAL;Russia
380,Dalavia;H8;KHB;DALAVIA;Russia
381,Darwin Airline;0D;DWT;DARWIN;Switzerland
382,Dauair;D5;DAU;DAUAIR;Germany
383,Delta Air Lines;DL;DAL;DELTA;United States
384,Deutsche Bahn;2A;\N;\N;Germany
385,Deutsche Rettungsflugwacht;1I;AMB;CIVIL AIR AMBULANCE;Germany
386,Dinar;D7;RDN;AERO DINAR;Argentina
387,Discovery Airways;DH;DVA;DISCOVERY AIRWAYS;United States
388,Djibouti Airlines;D8;DJB;DJIBOUTI AIR;Djibouti
389,Dominicana de Aviación;DO;DOA;DOMINICANA;Dominican Republic
390,Domodedovo Airlines;E3;DMO;DOMODEDOVO;Russia
391,Dragonair;KA;HDA; Hong Kong Dragon Airlines;DRAGON
392,Druk Air;KB;DRK;ROYAL BHUTAN;Bhutan
393,EVA Air;BR;EVA;EVA;Taiwan
394,Eagle Air;H7;\N;\N;Uganda
395,East African Safari Air;S9;HSA;DUMA;Kenya
396,East African;QU;UGX;CRANE;Uganda
397,Eastern Airways;T3;EZE;EASTFLIGHT;United Kingdom
398,Eastland Air;DK;ELA;\N;Australia
399,Egyptair;MS;MSR;EGYPTAIR;Egypt
400,El Al Israel Airlines;LY;ELY;ELAL;Israel
401,El-Buraq Air Transport;UZ;BRQ;BURAQAIR;Libya
402,Electronic Data Systems;1C;\N;\N;Switzerland
403,Emirates Airline;EK;UAE;EMIRATES;United Arab Emirates
404,Empresa Ecuatoriana De Aviacion;EU;EEA;ECUATORIANA;Ecuador
405,Eos Airlines;E0;ESS;NEW DAWN;United States
406,Eritrean Airlines;B8;ERT;ERITREAN;Eritrea
407,Estafeta Carga Aerea;E7;ESF;\N;Mexico
408,Estonian Air;OV;ELL;ESTONIAN;Estonia
409,Ethiopian Airlines;ET;ETH;ETHIOPIAN;Ethiopia
410,Etihad Airways;EY;ETD;ETIHAD;United Arab Emirates
411,Euro Exec Express;RZ;\N;\N;Sweden
412,EuroAtlantic Airways;MM;MMZ;EUROATLANTIC;Portugal
413,Eurocypria Airlines;UI;ECA;EUROCYPRIA;Cyprus
414,Eurolot;K2;ELO;EUROLOT;Poland
415,Euromanx Airways;3W;EMX;EUROMANX;Austria
416,European Air Express;EA;EAL;STAR WING;Germany
417,European Air Transport;QY;BCS;EUROTRANS;Belgium
418,Eurowings;EW;EWG;EUROWINGS;Germany
419,Evergreen International Airlines;EZ;EIA;EVERGREEN;United States
420,Excel Airways;JN;XLA;EXPO;United Kingdom
421,Execair Aviation;MB;EXA;CANADIAN EXECAIRE;Canada
422,Executive Airlines;OW;EXK;EXECUTIVE EAGLE;United States
423,Express One International;EO;LHN;LONGHORN;United States
424,ExpressJet;XE;BTA;JET LINK;United States
425,Falcon Aviation;IH;\N;\N;Sweden
426,Far Eastern Air Transport;EF;EFA;Far Eastern;Taiwan
427,Faroejet;F6;RCK;ROCKROSE;Faroe Islands
428,Faso Airways;F3;FSW;FASO;Burkina Faso
429,Federal Express;FX;FDX;FEDEX;United States
430,Fika Salaama Airlines;N8;HGK;SALAAMA;Uganda
431,Finalair Congo;4S;FNC;FINALAIR CONGO;Republic of the Congo
432,Finnair;AY;FIN;FINNAIR;Finland
433,Finncomm Airlines;FC;WBA;WESTBIRD;Finland
434,Firefly;FY;FFM;FIREFLY;Malaysia
435,First Air;7F;FAB;\N;Canada
436,First Choice Airways;DP;FCA;JETSET;United Kingdom
437,Fischer Air;8F;FFR;FISCHER;Czech Republic
438,Flightline;B5;FLT;FLIGHTLINE;United Kingdom
439,Florida Coastal Airlines;PA;FCL;FLORIDA COASTAL;United States
440,Florida West International Airways;RF;FWL;FLO WEST;United States
441,Fly Air;F2;FLM;FLY WORLD;Turkey
442,Fly Me Sweden;SH;FLY;FLYBIRD;Sweden
443,FlyLal;TE;LIL;LITHUANIA AIR;Lithuania
444,FlyNordic;LF;NDC;NORDIC;Sweden
445,Flybaboo;F7;BBO;BABOO;Switzerland
446,Flybe;BE;BEE;JERSEY;United Kingdom
447,Flyhy Cargo Airlines;W3;FYH;FLY HIGH;Thailand
448,Formosa Airlines;VY;FOS;\N;Taiwan
449,Four Star Aviation / Four Star Cargo;HK;FSC;FOUR STAR;United States
450,Freedom Air;FP;FRE;FREEDOM;United States
451,Freedom Air;SJ;FOM;FREE AIR;New Zealand
452,Frontier Airlines;F9;FFT;FRONTIER FLIGHT;United States
453,Frontier Flying Service;2F;FTA;FRONTIER-AIR;United States
454,Futura International Airways;FH;FUA;FUTURA;Spain
455,GB Airways;GT;GBL;GEEBEE AIRWAYS;United Kingdom
456,Galaxy Air;7O;GAL;GALAXY;Kyrgyzstan
457,Galileo International;1G;\N;\N;United States
458,Gambia International Airlines;GC;GNR;GAMBIA INTERNATIONAL;Gambia
459,Gandalf Airlines;G7;GNF;Gandalf;Italy
460,Garuda Indonesia;GA;GIA;INDONESIA;Indonesia
461,Georgian Airways;A9;TGZ;TAMAZI;Georgia
462,Georgian National Airlines;QB;GFG;NATIONAL;Georgia
